highway,lanes,lit,maxspeed,streetname,oneway,ref,smoothness,geometry
secondary,4.0,yes,50.0,,,,intermediate,"LINESTRING (13.3285254 52.5329513, 13.3283382 52.5329369)"
secondary,2.0,yes,40.0,,,,,"LINESTRING (13.2723709 52.5004532, 13.2723539 52.5004815, 13.2723535 52.5005062, 13.2723613 52.5005333, 13.2723801 52.5005598, 13.2724001 52.500575, 13.2726586 52.5007858, 13.2727408 52.5008418, 13.2728042 52.5008793, 13.2728749 52.5009183, 13.2729373 52.5009466, 13.2730012 52.5009705, 13.273063 52.5009911, 13.2731353 52.5010104, 13.2732055 52.5010248, 13.2732859 52.5010382, 13.2733631 52.5010456, 13.2734409 52.5010495, 13.2735207 52.5010517, 13.2736066 52.5010478, 13.2736937 52.5010395, 13.2737855 52.5010258, 13.2738954 52.501001, 13.2740149 52.5009595, 13.2741248 52.5009109, 13.2743566 52.5008019, 13.2744046 52.5007798)"
secondary,2.0,,70.0,,no,L 305,good,"LINESTRING (13.4089058 52.6620481, 13.409994 52.6618745)"
secondary,5.0,yes,50.0,,,,,"LINESTRING (13.3002424 52.5220927, 13.3002606 52.5221254, 13.3003063 52.5222079, 13.3003616 52.5223641, 13.3003656 52.5223767, 13.3003928 52.5224493, 13.3004006 52.522493, 13.3003953 52.522538)"
secondary,5.0,yes,50.0,,,,,"LINESTRING (13.2997982 52.5213681, 13.2999295 52.5215782)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.2969402 52.5480008, 13.2968501 52.5481206)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.2966555 52.5481231, 13.296733 52.5480036)"
secondary,2.0,yes,50.0,,,,good,"LINESTRING (13.3770151 52.5566007, 13.3770516 52.5564658, 13.3770601 52.556434, 13.3770957 52.5562985)"
secondary,2.0,yes,50.0,,yes,,,"LINESTRING (13.4447848 52.4631025, 13.4445207 52.4630754)"
secondary,2.0,yes,50.0,,yes,,,"LINESTRING (13.4447386 52.4627096, 13.4450582 52.4627324)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.2948066 52.5763928, 13.2945638 52.5763051)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.29462 52.5762014, 13.2948685 52.5762832)"
secondary,2.0,yes,50.0,,,,excellent,"LINESTRING (13.3392814 52.5258101, 13.3393023 52.5256895)"
primary,4.0,yes,50.0,,yes,B 1,,"LINESTRING (13.4028304 52.5119261, 13.4032903 52.5122364, 13.4035092 52.5123752)"
secondary,,yes,50.0,,yes,,,"LINESTRING (13.3600987 52.4903911, 13.3603059 52.4903278)"
secondary,,yes,50.0,,yes,,good,"LINESTRING (13.360414 52.490447, 13.3602056 52.4905086)"
secondary,2.0,no,70.0,,,L 200,excellent,"LINESTRING (13.5689711 52.650684, 13.5692734 52.6510775)"
secondary,2.0,yes,50.0,,yes,,,"LINESTRING (13.320544 52.4568592, 13.3207235 52.4567959)"
secondary,3.0,yes,50.0,,yes,,,"LINESTRING (13.3208257 52.4569089, 13.3206544 52.4569607)"
primary,2.0,no,70.0,,yes,B 158,excellent,"LINESTRING (13.607159 52.601145, 13.6064692 52.6006942)"
primary,2.0,no,70.0,,yes,B 158,excellent,"LINESTRING (13.6065685 52.6006369, 13.607259 52.601086)"
secondary,2.0,,50.0,,,L 40,good,"LINESTRING (13.2887318 52.3513864, 13.2885203 52.3514517)"
secondary,2.0,,50.0,,,L 40,good,"LINESTRING (13.2894525 52.3510693, 13.2887318 52.3513864)"
primary,4.0,yes,50.0,,yes,,good,"LINESTRING (13.4156817 52.527177, 13.4156637 52.5271609, 13.4156265 52.5271264, 13.4155844 52.5270875, 13.4155591 52.5270646, 13.4154048 52.5269217)"
primary,3.0,yes,50.0,,yes,B 1,good,"LINESTRING (13.4164399 52.5221923, 13.4162698 52.5220284)"
secondary,1.0,yes,50.0,,,,excellent,"LINESTRING (13.2047065 52.6463223, 13.2047587 52.6463346, 13.2048168 52.6463622, 13.204857 52.6463998, 13.2048747 52.6464432, 13.2048682 52.6464878, 13.2048381 52.6465287, 13.2047876 52.6465614, 13.2047223 52.6465823, 13.2046674 52.6465889, 13.2046115 52.6465869, 13.2045581 52.6465766, 13.2045001 52.6465529, 13.2044569 52.6465195, 13.2044332 52.6464803, 13.2044302 52.6464386, 13.2044483 52.6463983, 13.204484 52.6463645, 13.2045345 52.6463385, 13.2045953 52.6463227, 13.2046509 52.6463182, 13.2047065 52.6463223)"
primary,2.0,yes,50.0,,,B 96a,good,"LINESTRING (13.3677003 52.6456245, 13.3675104 52.6457347, 13.3662801 52.6464531, 13.3661304 52.6465421)"
secondary,1.0,,100.0,,,L 17,,"LINESTRING (13.1587463 52.6689357, 13.1587633 52.6689685, 13.1587677 52.6690028, 13.1587591 52.6690368, 13.158738 52.6690688, 13.1587055 52.669097, 13.1586633 52.66912, 13.158615 52.6691362, 13.1585621 52.6691456, 13.1584849 52.6691464, 13.1583935 52.6691296, 13.1583564 52.669111, 13.1583131 52.6690813, 13.1582845 52.6690468, 13.1582714 52.6690089, 13.1582746 52.6689702, 13.1582939 52.6689334, 13.1583281 52.6689007, 13.1583749 52.6688744, 13.1584227 52.6688582, 13.1584752 52.6688487, 13.158529 52.6688465, 13.1585823 52.6688513, 13.1586327 52.668863, 13.1586778 52.668881, 13.1587463 52.6689357)"
secondary,2.0,no,,,,L 79,,"LINESTRING (13.1402153 52.352752, 13.1397668 52.3528625, 13.1394454 52.3529514, 13.1391195 52.3530569, 13.1388105 52.3531909)"
secondary,1.0,no,70.0,,,L 402,good,"LINESTRING (13.4990552 52.3335331, 13.4991168 52.333578, 13.4992321 52.3336614, 13.4993043 52.3337341, 13.4994177 52.3338672, 13.5001929 52.3347988, 13.500782 52.3355033)"
secondary,2.0,,80.0,,,L 402,good,"LINESTRING (13.5591273 52.342875, 13.5597024 52.3427567, 13.5602761 52.3426554, 13.5605775 52.3426179, 13.5611443 52.3425708, 13.5617251 52.3425165, 13.5621131 52.3424765, 13.5623206 52.3424542, 13.5625251 52.3424229, 13.5626952 52.3423889, 13.5629086 52.3423419, 13.5631483 52.3422741, 13.563335 52.3422111, 13.5635108 52.3421461, 13.5638474 52.3420097, 13.5641011 52.341914, 13.5643138 52.3418496, 13.5645258 52.3417971, 13.5647516 52.3417581, 13.5648771 52.3417411, 13.5650031 52.3417308, 13.5651337 52.3417255, 13.565264 52.3417265, 13.5655248 52.3417353, 13.5657557 52.3417509, 13.5658327 52.3417643, 13.566003 52.341794)"
secondary,2.0,,80.0,,,L 402,good,"LINESTRING (13.5548141 52.3439021, 13.5551097 52.3437933, 13.5554049 52.3436997, 13.5557338 52.3436096)"
primary,1.0,yes,50.0,,,,good,"LINESTRING (13.7455805 52.6362546, 13.7455498 52.6362702, 13.7455314 52.6362796, 13.7454791 52.6362926, 13.7454169 52.636295, 13.7453777 52.6362898, 13.7453413 52.6362796, 13.7452858 52.6362481, 13.7452611 52.6362179, 13.7452526 52.6361802, 13.7452657 52.6361425, 13.7452931 52.6361142, 13.7453184 52.6360985, 13.7453482 52.6360862, 13.7453856 52.6360769, 13.7454174 52.6360731, 13.7454498 52.6360729, 13.7455056 52.6360808, 13.7455529 52.6360979, 13.7455771 52.6361124, 13.7456058 52.636141, 13.7456187 52.6361704, 13.7456192 52.6361952, 13.7456134 52.6362139, 13.7455958 52.6362395, 13.7455805 52.6362546)"
primary,3.0,yes,50.0,,yes,B 1,,"LINESTRING (13.3556725 52.4777096, 13.3558035 52.4778203)"
primary,2.0,,70.0,,yes,B 96a,good,"LINESTRING (13.422222 52.3669724, 13.4235377 52.3669502)"
primary,2.0,yes,50.0,,yes,B 96,,"LINESTRING (13.4183639 52.3755311, 13.4183825 52.3755033, 13.4184478 52.3754087)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.3437266 52.5463279, 13.343878 52.546218, 13.3439101 52.5461947, 13.3440796 52.5460714)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.34426 52.5461738, 13.3440995 52.5462935, 13.3440669 52.546317, 13.3439163 52.5464255)"
