highway,lanes,lit,maxspeed,name,oneway,ref,smoothness,geometry
primary,3,yes,50,Frankfurter Allee,yes,B 1;B 5,excellent,"LINESTRING (13.4541952 52.5157145, 13.4543122 52.5157027, 13.4544109 52.5156928, 13.4547221 52.5156587, 13.4554288 52.5155877, 13.4555242 52.5155776)"
secondary,,yes,30,Seestraße,,L 401,bad,"LINESTRING (13.6370044 52.3692569, 13.636938 52.3691238, 13.6369298 52.3691041, 13.6369107 52.3690599, 13.6368481 52.3689161, 13.636842 52.3689023, 13.6367695 52.3687387, 13.6367218 52.368631, 13.6366698 52.3685134, 13.6366292 52.3684218, 13.6365942 52.3683427, 13.636559 52.3682639, 13.6364895 52.3681079, 13.6364352 52.3679861, 13.6364062 52.367921, 13.6363696 52.367839, 13.6362584 52.3675895, 13.6362053 52.3674704, 13.63619 52.3674361, 13.6361747 52.3674018, 13.6360946 52.3672223, 13.6360828 52.3671957, 13.6360333 52.3670849, 13.6360149 52.3670435, 13.6359985 52.3670068, 13.635945 52.3668867, 13.6358827 52.3667472, 13.6358607 52.3666978, 13.6357878 52.3665345, 13.6357713 52.3664975, 13.6356929 52.3663216, 13.635569 52.3660392, 13.6355635 52.3660266, 13.6355425 52.3659789)"
secondary,,yes,30,Goethestraße,,L 401,bad,"LINESTRING (13.6318938 52.352067, 13.6318822 52.3520514, 13.6318358 52.3519975, 13.6317788 52.3519453, 13.6316784 52.3518816, 13.6314942 52.3517839, 13.6312866 52.3516854, 13.6309832 52.3515414, 13.6308546 52.3514804, 13.6305088 52.3513163, 13.6303614 52.3512463, 13.6302509 52.3511939, 13.6300122 52.3510806, 13.6299723 52.3510617, 13.6299378 52.3510453, 13.6295749 52.350873, 13.6294967 52.3508351, 13.6293903 52.3507841, 13.6291869 52.3506864)"
secondary,,yes,50,Dorfstraße,,L 402,intermediate,"LINESTRING (13.6167013 52.341313, 13.6166233 52.3411525, 13.616604 52.341107)"
secondary,2,yes,50,Hauptstraße,,,good,"LINESTRING (13.3728224 52.5933399, 13.3728054 52.5933095, 13.3726967 52.5931247, 13.3726053 52.5929586, 13.3722444 52.592326, 13.3719305 52.5919073, 13.3713463 52.5911749, 13.3711783 52.5909683, 13.3711198 52.5908967, 13.3710088 52.5907611)"
primary,2,yes,50,Michael-Brückner-Straße,yes,B 96a,,"LINESTRING (13.51478 52.4530461, 13.5153139 52.4526759)"
secondary,1,yes,50,Dorfstraße,yes,L 402,good,"LINESTRING (13.6157533 52.3408129, 13.6156037 52.3408423, 13.6153785 52.3408935, 13.6153318 52.3409036, 13.6149702 52.340974, 13.6147978 52.3410032, 13.6144651 52.3410627, 13.6143727 52.3410697, 13.6142171 52.3410734, 13.6140946 52.3410652, 13.6139577 52.341045, 13.6138188 52.3410201, 13.6133338 52.3409344, 13.6131346 52.3408996, 13.6130646 52.3408873, 13.6127554 52.3408344, 13.6125853 52.3408033, 13.6125479 52.3407923, 13.6125041 52.3407676)"
secondary,,yes,50,Olympische Straße,yes,,,"LINESTRING (13.2493683 52.515349, 13.2496738 52.5154934, 13.2498976 52.5155538, 13.2502624 52.5156307)"
secondary,4,yes,50,Jafféstraße,,,,"LINESTRING (13.2615167 52.5077092, 13.2616452 52.50764, 13.2617881 52.5075724, 13.2623294 52.5073243, 13.2626279 52.5071832, 13.2629466 52.5070168, 13.2631578 52.5068941, 13.2633591 52.5067636, 13.2636426 52.5065613, 13.2639078 52.5063484, 13.2640581 52.5062115, 13.2641966 52.5060722, 13.2643433 52.505912, 13.2644532 52.5057781, 13.2645429 52.5056638, 13.2646188 52.5055471, 13.2647492 52.5053399)"
primary,3,yes,50,Müllerstraße,yes,,good,"LINESTRING (13.333582 52.5609384, 13.3333673 52.561062, 13.3333226 52.5610877)"
