id,title,link,district,type,name,value,function
9080038002,A-Schweitzer-Gymnasium Gymnasium,https://www.infravelo.de/projekt/a-schweitzer-gymnasium-gymnasium/,Neukölln,Anlehnbügel,Anzahl Stellplätze,30,parking
9100031042,Adorfer Straße  8,https://www.infravelo.de/projekt/adorfer-strasse-8/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,6,parking
9060111001,Albrechtstraße 49,https://www.infravelo.de/projekt/albrechtstrasse-49/,Steglitz-Zehlendorf,Anlehnbügel,Anzahl Stellplätze,4,parking
9060092029,Albrechtstraße 81,https://www.infravelo.de/projekt/albrechtstrasse-81/,Steglitz-Zehlendorf,Anlehnbügel,Anzahl Stellplätze,16,parking
9100031023,Alfred-Döblin-Straße 2 A,https://www.infravelo.de/projekt/alfred-doeblin-strasse-2-a/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,8,parking
9100057004,Alice-Salomon-Platz ggü. Rathaus ,https://www.infravelo.de/projekt/alice-salomon-platz-ggue-rathaus/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,16,parking
9100031051,Allee der Kosmonauten  79,https://www.infravelo.de/projekt/allee-der-kosmonauten-79/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,8,parking
9100053010,Allee der Kosmonauten 79,https://www.infravelo.de/projekt/allee-der-kosmonauten-79-1/,Marzahn-Hellersdorf,Kinderfahrradbügel,Anzahl Stellplätze,8,parking
9080031001,Allerstraße 13,https://www.infravelo.de/projekt/allerstrasse-13/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080031002,Allerstraße 33,https://www.infravelo.de/projekt/allerstrasse-33-1/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080049006,Allerstraße 33,https://www.infravelo.de/projekt/allerstrasse-33/,Neukölln,Anlehnbügel,Anzahl Stellplätze,22,parking
9080031003,Allerstraße 44,https://www.infravelo.de/projekt/allerstrasse-44/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031004,Allerstraße 47,https://www.infravelo.de/projekt/allerstrasse-47/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9030079025,Alt Blankenburg 12a,https://www.infravelo.de/projekt/alt-blankenburg-12a/,Pankow,Anlehnbügel,Anzahl Stellplätze,6,parking
9030079024,Alt Blankenburg 24,https://www.infravelo.de/projekt/alt-blankenburg-24/,Pankow,Anlehnbügel,Anzahl Stellplätze,4,parking
9030079023,Alt Blankenburg 30,https://www.infravelo.de/projekt/alt-blankenburg-30/,Pankow,Anlehnbügel,Anzahl Stellplätze,4,parking
9100053015,Alt Hellersdorf 29-31,https://www.infravelo.de/projekt/alt-hellersdorf-29-31/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,40,parking
9030079017,Alt-Blankenburg 42,https://www.infravelo.de/projekt/alt-blankenburg-42/,Pankow,Anlehnbügel,Anzahl Stellplätze,12,parking
9080031423,Alt-Britz 41,https://www.infravelo.de/projekt/alt-britz-41/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031425,Alt-Buckow 16-18,https://www.infravelo.de/projekt/alt-buckow-16-18/,Neukölln,Anlehnbügel,Anzahl Stellplätze,10,parking
9050089001,Alt-Gatow 32-38,https://www.infravelo.de/projekt/alt-gatow-32-38/,Spandau,Anlehnbügel,Anzahl Stellplätze,40,parking
9010102108,Alt-Moabit / Elberfelder Straße ,https://www.infravelo.de/projekt/alt-moabit-elberfelder-strasse/,Mitte,Anlehnbügel,Anzahl Stellplätze,16,parking
9010102001,Alt-Moabit 82,https://www.infravelo.de/projekt/alt-moabit-82/,Mitte,Anlehnbügel,Anzahl Stellplätze,12,parking
9010102002,Alt-Moabit 83,https://www.infravelo.de/projekt/alt-moabit-83/,Mitte,Anlehnbügel,Anzahl Stellplätze,16,parking
9080031429,Alt-Rudow 24,https://www.infravelo.de/projekt/alt-rudow-24/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031428,Alt-Rudow 46,https://www.infravelo.de/projekt/alt-rudow-46/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9110077010,Alte Frankfurter Allee  -,https://www.infravelo.de/projekt/alte-frankfurter-allee/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,32,parking
